CAST_ID,SOURCE,CARBON,VANADIUM,TITANIUM,NIOBIUM,MANGANESE,PHOSPHORUS,SULPHUR,SILICON
V78974,CC2,0.098,0.002,0.0,0.0,0.431,0.017,0.006,0.009
V78978,CC2,0.11,0.002,0.0,0.0,0.452,0.018,0.006,0.011
V79093,CC3,0.051,0.004,0.019,0.0,0.818,0.014,0.004,0.084
V79104,CC2,0.15,0.001,0.015,0.018,1.054,0.02,0.01,0.015
V79105,CC3,0.054,0.004,0.021,0.01,0.762,0.015,0.01,0.091
V79113,CC2,0.14,0.001,0.016,0.022,1.066,0.015,0.006,0.017
V79111,CC1,0.0016,0.001,0.034,0.012,0.084,0.015,0.008,0.004
V79232,CC3,0.058,0.001,0.001,0.0,0.176,0.02,0.011,0.012
V79243,CC1,0.0014,0.001,0.035,0.013,0.074,0.012,0.01,0.004
V79245,CC2,0.13,0.003,0.0,0.0,0.863,0.032,0.007,0.127
V79256,CC3,0.05,0.001,0.001,0.001,0.18,0.013,0.007,0.007
V79277,CC3,0.025,0.001,0.001,0.001,0.18,0.018,0.006,0.006
V79315,CC1,0.0017,0.001,0.059,0.001,0.08,0.013,0.011,0.01
V79425,CC3,0.04,0.001,0.001,0.001,0.16,0.01,0.006,0.006
V79499,CC3,0.045,0.001,0.001,0.0,0.21,0.015,0.009,0.006
V79505,CC3,0.044,0.001,0.001,0.001,0.2,0.015,0.005,0.011
V79522,CC3,0.046,0.001,0.001,0.001,0.206,0.02,0.01,0.007
V79523,CC2,0.79,0.003,0.0,0.0,0.646,0.021,0.005,0.178
V79529,CC3,0.054,0.001,0.001,0.001,0.179,0.014,0.008,0.007
V79584,CC2,0.062,0.001,0.001,0.001,0.441,0.014,0.007,0.017
V78282,CC2,0.071,0.004,0.017,0.034,0.859,0.019,0.012,0.012
V78283,CC1,0.0019,0.001,0.063,0.001,0.075,0.012,0.007,0.004
V78293,CC3,0.054,0.001,0.0,0.0,0.417,0.014,0.009,0.008
V78292,CC2,0.08,0.001,0.024,0.033,0.842,0.015,0.009,0.014
V78301,CC1,0.0016,0.001,0.06,0.001,0.076,0.011,0.004,0.003
V78302,CC3,0.058,0.002,0.0,0.0,0.443,0.014,0.011,0.008
V78305,CC3,0.054,0.001,0.001,0.001,0.454,0.015,0.01,0.006
V78308,CC3,0.058,0.001,0.001,0.001,0.427,0.018,0.008,0.006
V78304,CC2,0.087,0.001,0.026,0.032,0.83,0.016,0.005,0.012
V78311,CC2,0.078,0.001,0.029,0.033,0.86,0.026,0.01,0.011
V78310,CC3,0.051,0.001,0.001,0.001,0.459,0.012,0.012,0.008
V78311,CC2,0.075,0.001,0.028,0.031,0.869,0.025,0.01,0.009
V78409,CC2,0.074,0.001,0.001,0.022,1.37,0.022,0.006,0.013
V78408,CC3,0.039,0.001,0.001,0.001,0.166,0.015,0.009,0.007
V78327,CC2,0.067,0.001,0.013,0.03,1.26,0.02,0.004,0.014
V78329,CC1,0.0022,0.001,0.046,0.012,0.125,0.029,0.005,0.006
V78348,CC3,0.06,0.001,0.0,0.0,0.328,0.015,0.006,0.009
V78356,CC1,0.0018,0.001,0.054,0.001,0.62,0.042,0.007,0.007
V78357,CC2,0.044,0.004,0.018,0.0,0.807,0.017,0.003,0.064
V78383,CC3,0.032,0.001,0.001,0.001,0.16,0.015,0.006,0.005
V78384,CC1,0.0025,0.001,0.06,0.001,0.089,0.014,0.006,0.007
V78386,CC2,0.05,0.001,0.023,0.007,0.75,0.023,0.005,0.072
V77642,CC1,0.0018,0.001,0.056,0.001,0.085,0.013,0.006,0.006
V77646,CC3,0.066,0.001,0.001,0.001,0.331,0.015,0.007,0.012
V77644,CC2,0.14,0.001,0.001,0.022,1.34,0.02,0.004,0.26
V77643,CC3,0.06,0.001,0.001,0.001,0.362,0.02,0.005,0.01
V77749,CC2,0.089,0.04,0.0,0.0,0.661,0.023,0.003,0.008
V77751,CC3,0.064,0.001,0.0,0.007,0.346,0.01,0.01,0.008
V77647,CC3,0.0626,0.001,0.001,0.001,0.334,0.014,0.005,0.012
V77863,CC1,0.0019,0.001,0.032,0.011,0.066,0.011,0.005,0.004
V77721,CC2,0.071,0.001,0.017,0.031,1.3,0.03,0.007,0.013
V77722,CC3,0.051,0.001,0.001,0.001,0.203,0.018,0.01,0.012
V77728,CC3,0.048,0.001,0.001,0.001,0.195,0.018,0.01,0.007
V77732,CC1,0.046,0.001,0.001,0.001,0.209,0.021,0.006,0.008
V77733,CC2,0.064,0.026,0.0,0.0,0.532,0.022,0.006,0.006
V77735,CC1,0.045,0.001,0.0,0.0,0.223,0.018,0.006,0.007
V77759,CC3,0.069,0.001,0.0,0.0,0.314,0.015,0.007,0.005
V77768,CC2,0.0816,0.001,0.001,0.007,1.03,0.023,0.006,0.01
V77769,CC1,0.0015,0.001,0.06,0.001,0.081,0.012,0.005,0.005
V77769,CC1,0.0018,0.001,0.052,0.001,0.076,0.013,0.005,0.004
V77775,CC3,0.07,0.001,0.001,0.001,0.345,0.011,0.005,0.01
V77792,CC1,0.044,0.001,0.0,0.0,0.185,0.009,0.004,0.004
V76817,CC1,0.048,0.001,0.0,0.0,0.236,0.015,0.01,0.007
V76816,CC1,0.0018,0.001,0.057,0.001,0.092,0.013,0.003,0.006
V76818,CC2,0.8,0.001,0.001,0.0,0.637,0.02,0.004,0.216
V76827,CC3,0.053,0.001,0.001,0.001,0.18,0.019,0.003,0.015
V77052,CC3,0.062,0.001,0.0,0.0,0.199,0.013,0.004,0.006
V77052,CC2,0.071,0.004,0.0,0.007,1.079,0.013,0.003,0.024
V77058,CC2,0.071,0.004,0.0,0.007,1.079,0.013,0.003,0.024
V79181,CC1,0.0019,0.001,0.055,0.001,0.077,0.017,0.009,0.005
V79187,CC2,0.062,0.002,0.0,0.0,0.42,0.017,0.013,0.009
V79211,CC1,0.0017,0.001,0.06,0.001,0.078,0.01,0.007,0.006
V79224,CC3,0.048,0.001,0.001,0.001,0.248,0.014,0.006,0.024
V79223,CC2,0.078,0.003,0.001,0.036,0.841,0.025,0.008,0.011
V79228,CC1,0.002,0.001,0.03,0.014,0.073,0.013,0.01,0.006
V79230,CC3,0.0458,0.001,0.001,0.001,0.16,0.014,0.01,0.01
V79654,CC1,0.0018,0.001,0.056,0.001,0.084,0.013,0.007,0.004
V79656,CC3,0.043,0.001,0.0,0.0,0.228,0.017,0.004,0.008
V79670,CC1,0.037,0.002,0.001,0.0,0.177,0.021,0.007,0.008
V79707,CC1,0.002,0.001,0.001,0.001,0.352,0.048,0.008,0.004
V79710,CC3,0.063,0.003,0.001,0.001,0.353,0.011,0.005,0.029
V79732,CC1,0.0018,0.001,0.055,0.001,0.078,0.011,0.007,0.005
V79813,CC2,0.082,0.005,0.026,0.03,0.81,0.01,0.006,0.011
V79818,CC1,0.051,0.001,0.0,0.0,0.21,0.015,0.006,0.009
V79828,CC3,0.048,0.001,0.001,0.001,0.24,0.011,0.007,0.011
V79833,CC3,0.055,0.001,0.0,0.0,0.21,0.018,0.005,0.008
V78416,CC2,0.082,0.005,0.0,0.02,1.385,0.026,0.004,0.015
V78422,CC3,0.034,0.001,0.0,0.0,0.177,0.009,0.004,0.005
V78448,CC1,0.0016,0.001,0.06,0.001,0.08,0.02,0.006,0.005
V78449,CC2,0.058,0.001,0.018,0.036,0.54,0.014,0.008,0.014
V78457,CC3,0.048,0.001,0.001,0.001,0.445,0.013,0.004,0.045
V78458,CC3,0.047,0.001,0.0,0.0,0.443,0.014,0.005,0.055
V78461,CC3,0.056,0.001,0.001,0.001,0.38,0.023,0.004,0.017
V78544,CC2,0.047,0.003,0.016,0.0,0.691,0.015,0.006,0.08
V78388,CC1,0.0014,0.001,0.057,0.001,0.082,0.014,0.006,0.004
V78392,CC2,0.054,0.001,0.018,0.045,0.524,0.015,0.003,0.03
V78394,CC3,0.045,0.001,0.001,0.001,0.21,0.025,0.008,0.009
V78402,CC1,0.0022,0.001,0.063,0.001,0.081,0.015,0.006,0.005
V78475,CC1,0.0017,0.001,0.032,0.011,0.066,0.013,0.004,0.004
V78489,CC2,0.056,0.004,0.02,0.009,0.75,0.026,0.003,0.06
V78503,CC3,0.056,0.002,0.0,0.0,0.419,0.017,0.003,0.007
V78509,CC2,0.05,0.004,0.02,0.009,0.725,0.012,0.002,0.092
V78510,CC3,0.058,0.001,0.0,0.0,0.426,0.02,0.002,0.013
V78528,CC2,0.05,0.002,0.0,0.012,0.662,0.021,0.007,0.077
V78722,CC3,0.077,0.001,0.0,0.0,0.447,0.018,0.005,0.02
V78734,CC1,0.042,0.001,0.0,0.0,0.198,0.013,0.006,0.006
V78833,CC2,0.094,0.001,0.001,0.001,0.435,0.025,0.006,0.008
V78871,CC3,0.048,0.001,0.0,0.0,0.154,0.014,0.01,0.006
V79577,CC3,0.033,0.001,0.001,0.001,0.17,0.014,0.006,0.007
V79968,CC1,0.0021,0.001,0.032,0.013,0.071,0.015,0.006,0.004
V79981,CC2,0.076,0.001,0.001,0.006,1.085,0.014,0.005,0.01
V80018,CC3,0.042,0.001,0.0,0.0,0.153,0.01,0.006,0.008
V78818,CC1,0.0017,0.001,0.056,0.001,0.083,0.011,0.005,0.003
V78827,CC1,0.0018,0.001,0.053,0.001,0.079,0.015,0.008,0.004
V78835,CC1,0.0016,0.001,0.055,0.001,0.081,0.01,0.005,0.004
V78837,CC2,0.09,0.001,0.001,0.001,0.428,0.018,0.005,0.009
V78831,CC1,0.0016,0.001,0.057,0.001,0.084,0.02,0.006,0.003
V78836,CC3,0.048,0.001,0.001,0.001,0.205,0.019,0.011,0.006
V78841,CC3,0.045,0.001,0.0,0.0,0.19,0.023,0.007,0.008
V79236,CC3,0.034,0.001,0.0,0.0,0.191,0.012,0.008,0.007
V79252,CC1,0.051,0.001,0.0,0.0,0.189,0.028,0.011,0.006
V79262,CC3,0.033,0.001,0.001,0.001,0.227,0.014,0.006,0.007
V79266,CC3,0.0492,0.001,0.001,0.001,0.2,0.015,0.008,0.006
V79274,CC2,0.072,0.004,0.001,0.001,1.844,0.012,0.005,0.434
V79302,CC2,0.077,0.004,0.0,0.008,1.063,0.023,0.007,0.012
V79305,CC3,0.057,0.003,0.0,0.0,0.222,0.02,0.011,0.005
V79308,CC1,0.053,0.003,0.002,0.006,0.185,0.014,0.005,0.012
V79314,CC1,0.06,0.001,0.001,0.001,0.21,0.023,0.009,0.015
V79364,CC3,0.039,0.001,0.0,0.0,0.15,0.014,0.005,0.005
V79834,CC1,0.06,0.001,0.0,0.0,0.187,0.016,0.005,0.01
V79841,CC3,0.049,0.001,0.0,0.0,0.18,0.02,0.008,0.01
